منهای بیست ممیز یکصد و چهل و هشت  یوکتو گرم
صفر ضربدر ده به قوهٔ هفتاد  فمتو هانری
هشت  اهم
ششصد و بیست و سه ممیز چهارده صدم  نیوتن
صفر ضربدر ده به قوهٔ منهای نه هزار  هرتز
منهای هفت ممیز نود و چهار  زپتو پاسکال
منفی سه در ده به توان هفت  مول
منفی چهار ممیز هفت  پاسکال
منفی نه و شش دهم  فمتو فاراد
منهای چهار و سی و سه صدم  زپتو پاسکال
یک در ده به نمای بیست  درجه سانتی گراد
دو ضربدر ده به توان منفی شش  اتو مول
منهای دو در ده به نمای هشت  ثانیه
هفت ممیز یکصد و بیست و چهار هزارم  سانتی نیوتن
منفی پنج در ده به توان نه  فاراد
صفر در ده به توان منهای یک هزار  آمپر
منفی یک هزار و ششصد و سه در ده به توان منفی هشتاد  تسلا
صفر  آمپر
نه ممیز هجده صدم  وات
منفی هفت ضربدر ده به قوهٔ نه  ثانیه
منهای شش در ده به نمای منهای نه  مول
صفر ضربدر ده به توان منفی هفت  ثانیه
سه در ده به نمای منهای هشتاد  وات
یک هزار و سیصد و بیست و پنج و دویست و پانزده هزارم  یوتا درجه فارنهایت
دوازده در ده به نمای هشت هزار  ژول
منفی چهار ممیز هشتصد و نود و چهار  ترا درجه سانتی گراد
یک در ده به نمای شصت  مول
منهای نوزده ضربدر ده به قوهٔ منهای سه  آمپر
منفی یک ضربدر ده به توان منفی شصت  ترا کلوین
منهای چهل و دو در ده به نمای نهصد  سانتی کلوین
منهای هفت در ده به نمای هفت  کلوین
یکصد ممیز یازده  آمپر
منفی هشت در ده به نمای هشت  کلمب
بیست و هشت  آمپر
هشتصد و چهل و هفتصد و چهل هزارم  وات
منهای پنجاه و دو ضربدر ده به قوهٔ شش  پاسکال
منهای دو ممیز هشتاد و نه  پتا ژول
هشتصد و شصت و یک ممیز نود  تسلا
چهل و نه و بیست و یک صدم  هانری
هفده هزار و هشتاد و هفت  هرتز
سه هزار و پانصد و سی و چهارصد و پانزده هزارم  کلوین
منهای سیصد و پنجاه و پنج و نود و دو صدم  ژول
صفر  ثانیه
منفی یکصد و شصت و پنج در ده به توان سه هزار  پیکو مول
منهای سی و چهار و نود و یک صدم  پیکو هانری
ده ممیز سه دهم  هانری
هفت هزار و ششصد و شصت و هشت  اهم
منهای شصت و پنج ممیز چهار دهم  تسلا
دو در ده به نمای منهای دویست  کلمب
صفر  میلی پاسکال
بیست ضربدر ده به قوهٔ چهار  ترا تسلا
منفی هشتاد و چهار و چهارصد و شصت هزارم  درجه فارنهایت
پنجاه ممیز هشتاد و چهار  وات
پنج  کلوین
صفر ضربدر ده به قوهٔ منهای ده  متر
منفی چهارده  پتا اهم
منهای سه ضربدر ده به توان نه هزار  درجه فارنهایت
صفر  وات
منهای شش  ترا مول
منفی یکصد و پانزده  فمتو کلمب
منهای یک در ده به نمای منهای سی  هرتز
سه و دو دهم  هانری
صفر در ده به نمای منفی سه  پاسکال
چهار  هانری
صفر  هانری
دو ضربدر ده به قوهٔ چهار  هرتز
پنجاه و هشت ممیز هشت  میلی گرم
منهای پانصد و هفتاد و یک ممیز پنجاه و دو صدم  اتو گرم
منهای سه و هشتاد و سه صدم  ترا کلمب
منهای سه  گرم
پانزده در ده به توان هشتاد  هانری
منهای هشت ممیز هفتصد و بیست و یک هزارم  ثانیه
چهارصد و پنجاه و شش و هفتصد و دوازده هزارم  هرتز
منهای یکصد و هشتاد و چهار ممیز هشت  درجه سانتی گراد
سه هزار و هفتصد و پنجاه و پنج ممیز دویست و شش هزارم  پاسکال
سیصد و هشتاد و پنج ممیز ششصد و بیست و پنج  یوکتو هانری
چهار  متر
منهای هشت و شصت و نه صدم  هرتز
منفی یک ضربدر ده به توان منفی یک هزار  فمتو هانری
منفی دو هزار و هشتصد و نود و نه  تسلا
صفر  فمتو ژول
یک هزار و هشتصد و هفتاد و دو در ده به نمای بیست  درجه سانتی گراد
منهای دو هزار و ششصد و دوازده ضربدر ده به توان منهای هفت  گرم
دو هزار و ششصد و هفتاد و یک و ششصد و پنجاه و یک هزارم  یوکتو درجه فارنهایت
دو در ده به نمای سی هزار  میکرو اهم
یک ضربدر ده به توان پنج  تسلا
هفت در ده به نمای منفی پانصد  متر
نود و هشت ممیز شش  فمتو گرم
سی و پنج در ده به نمای هشتاد  تسلا
صفر در ده به نمای شش  آمپر
منهای یک در ده به نمای منهای یک  کلمب
منهای بیست و چهار ضربدر ده به قوهٔ یک  هانری
منهای دو در ده به توان منهای پنج  کلوین
هفت و یک دهم  اگزا کلمب
نه هزار و هشتصد و یازده و ششصد و نود و هفت هزارم  مگا متر
شش در ده به نمای پنجاه  نیوتن
یک ضربدر ده به توان صفر  ژول
یک ممیز هفتصد و هشتاد و شش هزارم  گرم
نوزده در ده به توان منفی هفتاد  پاسکال
یک ممیز ششصد و پنجاه و پنج  یوکتو فاراد
سه ضربدر ده به توان یک  پتا آمپر
صفر در ده به نمای منهای دو  فاراد
هجده  فاراد
هفت در ده به توان منفی هفت  فاراد
صفر در ده به نمای منفی دو  هانری
منفی سی و چهار صدم  تسلا
منهای چهار و هجده صدم  آمپر
سیصد و سی و هشت ممیز سیصد و نود و یک هزارم  متر
منهای یک در ده به توان منهای یک  وات
پنجاه و نه ضربدر ده به قوهٔ هفت  ترا درجه سانتی گراد
منهای پنج در ده به نمای منهای نه  زپتو ثانیه
منفی چهل و شش  میکرو مول
صفر ضربدر ده به توان منفی شصت  فاراد
منفی سی و هفت در ده به توان هشتاد  نیوتن
صفر در ده به نمای شش  زپتو فاراد
صفر  یوتا ثانیه
پانزده هزار و هفتصد و بیست  متر
یکصد و شش ممیز هشتاد و پنج صدم  کلمب
منفی چهل و هشت در ده به توان منفی هفت  گرم
صفر  کلمب
هشت ممیز هفت دهم  مگا فاراد
منهای یک  ثانیه
چهار  متر
چهارصد و نود و شش ممیز بیست و یک هزارم  درجه فارنهایت
پنج و نود و سه صدم  کیلو وات
نه ممیز نهصد و هفده هزارم  ترا ثانیه
منفی شش ممیز پانصد و هشتاد و پنج هزارم  پاسکال
صفر ضربدر ده به توان یکصد  وات
منهای دو در ده به نمای شصت هزار  درجه فارنهایت
چهار ضربدر ده به قوهٔ شصت هزار  درجه سانتی گراد
سیصد و پنجاه و نه ممیز چهل و چهار صدم  تسلا
منهای چهار ممیز پانصد و هفت هزارم  هکتو تسلا
صفر ضربدر ده به قوهٔ سی  آمپر
منفی هشتاد در ده به توان پنج هزار  ثانیه
هفده در ده به نمای ده  یوتا وات
منفی یک  پیکو گرم
منهای هفت  پاسکال
منفی پنج ممیز ده صدم  نیوتن
منهای یک ضربدر ده به قوهٔ هشتاد  پتا اهم
هفده  پاسکال
منهای شش ضربدر ده به قوهٔ منهای سه  ژول
صفر ضربدر ده به قوهٔ منفی دو  کلمب
منفی دوازده در ده به توان منفی هفت  متر
منهای یک ضربدر ده به توان سی  گرم
پنجاه و هفت در ده به نمای یک هزار  هانری
صفر ضربدر ده به توان منفی شش  کلمب
منهای یک  کلمب
منهای سه ممیز هفتصد و چهل و دو  پیکو فاراد
منفی هفت ممیز بیست و شش  درجه سانتی گراد
منهای چهل و نه ضربدر ده به قوهٔ ده  پتا آمپر
پانصد و چهل و نه هزارم  مول
سه ممیز هفتاد و یک صدم  اتو فاراد
منهای یک ضربدر ده به قوهٔ هشت  اتو درجه فارنهایت
پنج ممیز هشتاد و پنج صدم  فاراد
صفر در ده به توان شش  زتا متر
صفر در ده به توان منفی هفت  پاسکال
منهای هفتصد و پنجاه و یک و شش دهم  هرتز
منفی سی و نه ضربدر ده به توان یک  نیوتن
منفی چهل و چهار ضربدر ده به قوهٔ دو  آمپر
منفی شش  زتا درجه سانتی گراد
چهل و چهار  متر
منهای هشتاد و یک و هفت دهم  پاسکال
هفتاد و هشت ضربدر ده به توان منفی چهار  تسلا
منفی نود و چهار  میلی کلوین
پانصد و بیست و هفت ممیز هشتاد و چهار صدم  مگا نیوتن
صفر ضربدر ده به توان منفی دو  اهم
یک و هفت دهم  ثانیه
صفر در ده به نمای منهای نه  دسی درجه سانتی گراد
منهای یازده در ده به توان صفر  متر
سی ممیز دو  درجه فارنهایت
چهار ضربدر ده به قوهٔ منفی هفت  کلوین
منهای دو  هانری
منهای هفت ضربدر ده به توان یک هزار  پاسکال
منفی دو ضربدر ده به قوهٔ یک  گرم
سیصد و هفتاد و شش ممیز چهار دهم  فاراد
شصت و دو ممیز هفتصد و پنجاه و پنج  هرتز
شش ضربدر ده به توان منفی پانصد  درجه سانتی گراد
ده هزار و نهصد و هفتاد و هشت ممیز ده صدم  فاراد
منفی سیصد و چهل و هشت ضربدر ده به قوهٔ منفی پنج  وات
هفت هزار و سیصد و پنجاه و نه و یک دهم  متر
هفده  دسی کلمب
منهای سی و سه  اهم
پنجاه و شش ضربدر ده به توان منفی سه هزار  کلمب
منهای هشت در ده به نمای منهای شش  ترا هرتز
هفتاد و یک ضربدر ده به قوهٔ منهای چهار  ثانیه
صفر  پیکو هرتز
منفی چهل و هشت و هفتاد و نه صدم  آمپر
منفی هشتاد و نه ضربدر ده به توان صفر  زپتو فاراد
منفی هشت ضربدر ده به توان منفی یک  وات
پانزده ضربدر ده به توان منفی هشتاد  اهم
چهل و هشت  ژول
هفتصد و هفتاد و پنج  نیوتن
دو  وات
سه در ده به توان هشتاد  اتو فاراد
یک هزار و سیصد و هجده در ده به نمای یک  متر
یک  پتا آمپر
شش و هشتصد و پنجاه و یک هزارم  مگا درجه فارنهایت
منهای یک  وات
منفی هفت  میلی هرتز
صفر ضربدر ده به قوهٔ هشت  یوکتو تسلا
دو در ده به نمای منفی هفت  گیگا متر
پنج و شش دهم  درجه فارنهایت
صفر ضربدر ده به قوهٔ سه  کلوین
صفر ضربدر ده به قوهٔ یکصد  هانری
صفر در ده به توان منهای یک  کلوین
منفی دو هزار و دویست و بیست و یک و نهصد و شش هزارم  کلوین
منهای دو ضربدر ده به توان منهای هشت  پاسکال
منهای پنج در ده به نمای شش  کلوین
منهای پانصد و بیست  یوکتو فاراد
منفی سه و هفتصد و بیست و پنج هزارم  اهم
منفی بیست و هفت ممیز بیست و یک صدم  دکا پاسکال
هشت ممیز هفتاد و پنج صدم  آمپر
منهای یک ضربدر ده به قوهٔ سی  اتو ژول
منفی پنج ممیز هشتاد و یک  پیکو تسلا
منفی ششصد و پنجاه و چهار و نه دهم  زپتو متر
صفر در ده به نمای منفی چهار  آمپر
صفر در ده به توان شش  هانری
منهای دو ضربدر ده به قوهٔ دو  گرم
یک ممیز هشت دهم  فمتو آمپر
هشت ممیز شصت و یک  مگا ژول
منهای نه در ده به نمای هفتاد  کلوین
شش ممیز پنج دهم  هانری
هفت ممیز دو دهم  پاسکال
منهای شصت و سه  ژول
منهای چهل و شش و دویست و چهل و سه هزارم  تسلا
منهای یک ضربدر ده به توان منهای نه  گرم
سه ممیز چهار صدم  درجه سانتی گراد
سی و یک در ده به نمای هشتصد  گرم
چهل و دو ممیز دویست و چهل و یک هزارم  دسی متر
منهای یک و شش صدم  نیوتن
منهای دو هزار و چهارصد و بیست و نه در ده به نمای سه  درجه سانتی گراد
هفتاد و دو در ده به توان منهای ده  متر
نود و هفتصد و چهل و دو هزارم  گرم
منفی دویست و چهل و هفت  تسلا
منهای نهصد و پنجاه ممیز هفتصد و شصت و پنج هزارم  تسلا
دو در ده به توان منفی ده  گیگا متر
صفر ضربدر ده به قوهٔ چهل  نیوتن
سی و دو در ده به توان منهای پنجاه  مول
هجده ضربدر ده به توان منهای چهار  مول
یک ضربدر ده به توان منفی دو  آمپر
منفی یک در ده به توان منفی یکصد  تسلا
منفی سی و دو  پتا تسلا
یک  هرتز
هشت  نانو ثانیه
منهای نه ممیز نهصد و هفتاد و سه  دکا نیوتن
سی و هفت ممیز یک دهم  فاراد
منهای پنجاه و نه در ده به نمای یک هزار  اگزا فاراد
منفی دو در ده به توان هشتاد  نیوتن
منفی پنج ممیز یکصد و نود و سه  کلمب
دو در ده به نمای دو  نانو گرم
چهارده ممیز نه دهم  نیوتن
صفر در ده به نمای شش  پاسکال
سه در ده به توان پنج  زتا تسلا
نه  ژول
چهار در ده به نمای منفی چهل  کلوین
شش و سی و یک هزارم  کلمب
شش در ده به توان صفر  گرم
صفر ضربدر ده به توان منهای بیست  وات
منفی هفت هزار و نهصد و دو ممیز شش دهم  گیگا آمپر
سه هزار و پنجاه و شش ممیز شش  اگزا درجه سانتی گراد
منفی سه و هفتاد و هفت صدم  ژول
پنج ضربدر ده به توان سه  نیوتن
هشتاد و سه ممیز شصت و سه صدم  دسی پاسکال
یک ضربدر ده به توان منفی نه  وات
چهار و هفتصد و چهل و چهار هزارم  ژول
هفتصد و نود و چهار ممیز نود و نه صدم  کلوین
منهای ششصد و بیست و یک ضربدر ده به قوهٔ ده  میلی آمپر
منفی سی و یک در ده به نمای سیصد  کلوین
منهای نه و پانصد و نود و چهار هزارم  آمپر
یک هزار و هفده ممیز چهل و یک هزارم  ژول
منهای یک در ده به نمای منهای ده  هکتو کلمب
یکصد و نود و نه  اتو فاراد
هفت ممیز سیصد و هفت  هرتز
منهای سه در ده به نمای صفر  متر
منهای سه هزار و هشتصد و هشتاد و سه ممیز یک دهم  نیوتن
چهل و شش ضربدر ده به قوهٔ سه  اهم
منفی بیست و دو  ثانیه
منفی سی ضربدر ده به قوهٔ منفی هشتاد  ثانیه
یک در ده به نمای دو هزار  درجه فارنهایت
پنجاه و یک و هفت دهم  کلوین
صفر در ده به نمای هفت  دسی مول
منفی پنج ممیز ششصد و بیست و چهار هزارم  تسلا
صفر در ده به نمای منفی پنجاه  درجه سانتی گراد
دو هزار و پانصد و هشتاد و دو  نانو ژول
یک در ده به توان بیست  فمتو درجه سانتی گراد
صفر در ده به نمای صفر  هانری
سی و پنج در ده به نمای منفی ششصد  نیوتن
منهای سی ضربدر ده به توان یک  تسلا
منفی بیست و شش ضربدر ده به توان سیصد  کلمب
منفی هشتاد  دسی درجه سانتی گراد
منهای شش ضربدر ده به قوهٔ منهای چهار  اهم
منفی یک  درجه سانتی گراد
صفر ضربدر ده به قوهٔ یکصد هزار  پاسکال
نوزده و چهارصد و چهل و چهار هزارم  پاسکال
پنجاه و هفت و ده صدم  اهم
منفی هفت ممیز شصت و نه صدم  دکا فاراد
منفی یکصد و بیست و یک هزارم  آمپر
منفی یک  فاراد
صفر  پتا ژول
ده ممیز شش دهم  سانتی کلمب
منفی یک در ده به توان منفی هشت  تسلا
سی و نه ممیز دویست و پنجاه و نه  درجه فارنهایت
نود و هشت ممیز نود و هشت صدم  اگزا وات
یکصد و سه ممیز هفتصد و هفتاد و هشت هزارم  نیوتن
صفر ضربدر ده به قوهٔ صفر  کلمب
سه هزار و چهارصد و هشتاد و شش در ده به توان هشتاد  تسلا
پنج هزار و نهصد و هفتاد ممیز چهار  ژول
صفر ضربدر ده به توان منهای چهل  هانری
منفی دو در ده به توان منفی پنج  کلوین
منهای نه ضربدر ده به قوهٔ منهای یک  هرتز
چهل و پنج هزارم  پیکو هانری
دو هزار و دویست و شصت ممیز چهل و سه صدم  هانری
منفی سیصد و شصت و شش ممیز نود و هشت صدم  هرتز
منهای هفتصد و شصت و دو ممیز هجده  وات
منهای هفت هزار و هفتصد و سی و پنج در ده به توان منهای هشتاد  هرتز
منهای بیست و سه و چهار دهم  کلوین
منفی دو و چهار دهم  ژول
منهای پنج در ده به نمای چهار  گرم
یک ممیز هفت  کلوین
یک ممیز شصت و هشت صدم  درجه سانتی گراد
ده هزار و پنجاه و هفت و چهار دهم  فمتو فاراد
منهای شش هزار و سی و شش ممیز   تسلا
صفر ضربدر ده به قوهٔ پنجاه  کلوین
منهای یک ضربدر ده به توان منهای سه  وات
منفی دو در ده به توان نه  متر
هجده و یک دهم  ژول
چهار ضربدر ده به قوهٔ منفی چهار  درجه فارنهایت
منفی پنج و دو دهم  کلوین
منفی هشت  متر
منهای شش در ده به توان منهای سیصد  هرتز
سه ممیز ششصد و بیست و شش  یوتا آمپر
شصت و پنج در ده به توان سی  مول
نهصد و هفده ممیز بیست و شش  کلوین
منفی ده  یوتا اهم
منهای هفت هزار و چهارصد و هشت و یکصد و هفتاد و چهار هزارم  هرتز
منفی یک ضربدر ده به توان یکصد  ژول
ده ممیز پانزده  مول
منفی چهل و هفت در ده به نمای منفی ده  اهم
منهای ششصد و سی و دو  پاسکال
شصت و دو  اهم
منفی بیست ممیز سیصد و هشتاد و دو  مول
چهار و نه دهم  فاراد
منهای سه ضربدر ده به توان منهای یک  میلی مول
دو و هفتصد و بیست و نه هزارم  یوکتو درجه فارنهایت
منفی چهار  زتا تسلا
منهای هفتاد و دو در ده به توان منهای یکصد  اگزا هانری
منهای چهار ضربدر ده به قوهٔ منهای یک  پیکو وات
سه در ده به نمای منفی ده  هرتز
منفی یک در ده به نمای چهار  پاسکال
منفی پنج ضربدر ده به قوهٔ منفی دو  وات
منهای سه و هفتصد و بیست و هشت هزارم  فاراد
منفی یک ممیز هفتاد و شش هزارم  درجه سانتی گراد
منفی سه و هفت دهم  نیوتن
منفی چهل و سه هزار و هفتصد و شصت و دو در ده به توان دویست  کلمب
نه و پنجاه و دو صدم  ژول
نوزده ممیز هشتصد و شش  دسی گرم
منفی یک ضربدر ده به توان منفی بیست  کلوین
صفر  سانتی تسلا
منهای سه در ده به نمای ده  یوتا وات
منفی هشت ممیز هجده  ترا ژول
منفی یک در ده به توان شش  اگزا آمپر
یک هزار و چهارصد و هفده  مول
منفی یکصد و چهل و شش ضربدر ده به توان سی  درجه فارنهایت
منفی دو ضربدر ده به توان هشتاد  یوکتو کلمب
هشتاد و هفت ممیز شصت و نه صدم  اگزا گرم
هفده ضربدر ده به قوهٔ منهای پنجاه  هرتز
منفی سی و نه ضربدر ده به قوهٔ منفی بیست  درجه سانتی گراد
منفی هشت  مول
منهای هشتصد و چهل و نه ممیز چهار صدم  هانری
چهل و دو ممیز هفت دهم  آمپر
صفر در ده به نمای یکصد  هرتز
منهای ششصد و شصت و چهار ممیز چهارصد و چهل و چهار هزارم  اهم
ده ممیز هشتصد و هشتاد هزارم  پاسکال
منفی سیصد و بیست و سه ضربدر ده به توان منفی سی هزار  گیگا کلوین
منهای شصت و یک و نهصد و بیست و نه هزارم  کلوین
منفی سه هزار و ششصد و چهار ممیز  صدم  نیوتن
سیصد و پنجاه و هفت در ده به نمای منهای ده  اتو آمپر
منهای سه ضربدر ده به توان منهای یکصد  پاسکال
منفی هشت و پنج دهم  ژول
یکصد و هفتاد و هشت ممیز هشتصد و چهل و نه  اهم
هشت ممیز نود صدم  اهم
بیست ضربدر ده به توان منهای پنجاه هزار  ثانیه
هفت ضربدر ده به قوهٔ یک  فمتو کلوین
منفی نه هزار و پانصد و شصت و چهار ممیز پنجاه و دو  یوتا درجه فارنهایت
منهای سیصد و چهل و هشت ممیز چهارصد و هفتاد  فاراد
یکصد و سی و سه ضربدر ده به توان هشت  درجه سانتی گراد
نهصد و سی و سه ممیز شانزده صدم  کلمب
هشت ضربدر ده به قوهٔ چهارصد  ژول
منهای بیست و هشت در ده به نمای چهار  پاسکال
سه هزار و سیصد و پنجاه و شش  کلمب
دو ضربدر ده به قوهٔ یکصد  پیکو فاراد
سی ضربدر ده به قوهٔ منهای هفتاد  اهم
منهای چهل و نه در ده به نمای منهای یک  نیوتن
منفی هشت ممیز چهل و پنج صدم  اتو هانری
منفی شانزده در ده به توان یکصد  متر
هشتاد و هشت و هفتصد و پانزده هزارم  زتا گرم
یکصد و شصت و نه  وات
چهل ضربدر ده به قوهٔ هشت  تسلا
صفر در ده به توان منفی ده هزار  وات
شصت و پنج و بیست و دو صدم  تسلا
نه و دو دهم  هانری
نهصد و هشتاد و نه و شش دهم  هرتز
صفر ضربدر ده به توان منفی هشت هزار  ثانیه
منهای چهارصد و هفده در ده به توان نه  اگزا هانری
هفتاد و یک ضربدر ده به توان سیصد  پیکو درجه سانتی گراد
منهای پنج در ده به توان نهصد  کیلو کلمب
منهای یک  متر
هفتاد و شش و چهل و چهار صدم  ثانیه
صفر ضربدر ده به توان منهای هشتاد  میکرو هانری
منفی پنج در ده به توان منفی چهار  یوکتو گرم
منهای شش  هرتز
یک هزار و چهارصد و نود و چهار در ده به توان منفی ده  تسلا
منفی هشتاد و یک و شش دهم  یوتا کلوین
دو در ده به نمای پنج هزار  درجه فارنهایت
منهای پنج در ده به توان یک  پاسکال
شش در ده به توان منفی یک  کلمب
منهای یک ممیز نه  آمپر
پانصد و شصت و سه ضربدر ده به قوهٔ منهای یک  هانری
منفی دو در ده به توان منفی هفت  مول
بیست و نه و چهل و شش صدم  پاسکال
منفی شش ممیز سیصد و بیست  اتو نیوتن
منفی سه در ده به توان منفی دو  پتا ژول
منهای دو هزار و دویست و بیست و دو ممیز هشت صدم  دکا درجه سانتی گراد
منفی نه ممیز نه  گرم
صفر در ده به نمای سه هزار  پاسکال
پنجاه و سه در ده به توان منفی نه  اهم
چهارصد و پنجاه و هشت ممیز پانصد و هشتاد و چهار هزارم  دسی هرتز
چهل و یک ضربدر ده به توان منهای چهار هزار  نیوتن
منفی سه در ده به توان دویست  ژول
چهار در ده به توان منهای ده  مول
بیست و هفت هزار و هفتصد و شصت و یک  آمپر
صفر در ده به توان منهای هفت  هرتز
منهای چهارصد و هفتاد و هفت ممیز نهصد و نود و پنج هزارم  اهم
